,tags
11375,"{'addr:housenumber': '2605', 'addr:street': 'West 5th Avenue', 'addr:interpolation': 'housing co-op', 'addr:postcode': 'V6K 1T2', 'addr:city': 'Vancouver'}"
11377,"{'brand:wikidata': 'Q1080670', 'website': 'https://www.tdcanadatrust.com/cgi-bin/locator/drill.cgi?TRANSIT=9456', 'brand:wikipedia': 'en:TD Canada Trust', 'drive_through': 'no', 'addr:street': 'Cambie Street', 'atm': 'yes', 'brand': 'TD Canada Trust'}"
11378,"{'addr:housenumber': '3357', 'website': 'http://www.flyingwedge.com', 'phone': '+1-604-874-8284', 'opening_hours': 'Su-We 11:00-21:00; Th 11:00-21:30; Fr,Sa 11:00-22:00', 'cuisine': 'pizza', 'addr:street': 'Cambie Street'}"
11379,"{'brand:wikidata': 'Q1820137', 'opening_hours': 'Mo-Su 08:00-00:00', 'brand': 'Shoppers Drug Mart', 'brand:wikipedia': 'en:Shoppers Drug Mart', 'healthcare': 'pharmacy'}"
11380,"{'addr:housenumber': '268', 'website': 'http://www.hons.ca/', 'addr:street': 'Keefer Street'}"
11381,"{'brand:wikidata': 'Q175106', 'wheelchair': 'yes', 'website': 'https://www.timhortons.com/', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'operator': 'Restaurant Brands International Inc.', 'addr:city': 'Vancouver', 'addr:housenumber': '756', 'opening_hours': '24/7', 'addr:street': 'Davie Street', 'brand': 'Tim Hortons'}"
11382,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '1095', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Fr 05:30-19:00; Sa-Su 06:00-18:00', 'cuisine': 'coffee_shop', 'addr:street': 'Howe Street', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Vancouver'}"
11383,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '605', 'opening_hours': 'Mo-Fr 05:30-20:00; Sa,Su 06:00-20:00', 'outdoor_seating': 'yes', 'addr:street': 'Davie Street', 'brand': 'Starbucks'}"
11385,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '16141', 'website': 'https://www.timhortons.com/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': '24 Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}"
11386,{'cuisine': 'american'}
11387,"{'brand:wikidata': 'Q5138088', 'official_name': 'Coast Capital Savings Federal Credit Union', 'addr:housenumber': '16011', 'brand:wikipedia': 'en:Coast Capital Savings', 'opening_hours': 'Mo 09:30-17:00; Tu-Fr 09:00-19:00; Sa 09:30-15:00; PH off', 'addr:street': '24 Avenue', 'atm': 'yes', 'brand': 'Coast Capital Savings'}"
11388,"{'brand:wikidata': 'Q1080670', 'addr:housenumber': '2411', 'brand:wikipedia': 'en:TD Canada Trust', 'addr:street': '160 Street', 'atm': 'yes', 'brand': 'TD Canada Trust', 'addr:unit': '40', 'addr:city': 'Surrey'}"
11389,"{'brand:wikidata': 'Q451476', 'atm': 'yes', 'brand': 'Scotiabank', 'brand:wikipedia': 'en:Scotiabank'}"
11390,"{'brand:wikidata': 'Q1131810', 'official_name': 'Five Guys Burgers and Fries', 'brand:wikipedia': 'en:Five Guys', 'drive_through': 'no', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': 'Five Guys'}"
11391,"{'addr:housenumber': '2550', 'phone': '+1-604-439-1318', 'cuisine': 'chinese', 'addr:street': 'Kingsway', 'addr:postcode': 'V5R 5H2', 'addr:city': 'Vancouver'}"
11392,{}
11393,{'cuisine': 'greek'}
11394,{'cuisine': 'japanese'}
11395,{'cuisine': 'burger'}
11396,{'cuisine': 'pizza'}
11397,{'cuisine': 'vietnamese'}
11398,"{'brand:wikidata': 'Q5503082', 'cuisine': 'pizza', 'takeaway': 'yes', 'brand': 'Freshslice Pizza', 'brand:wikipedia': 'en:Freshslice Pizza'}"
11399,{}
11400,{'cuisine': 'greek'}
11401,"{'brand:wikidata': 'Q7673969', 'cuisine': 'mexican', 'takeaway': 'yes', 'brand': 'Taco Time', 'brand:wikipedia': 'en:Taco Time'}"
11402,{}
11403,"{'cuisine': 'burger', 'addr:housenumber': '8615', 'addr:street': '200 Street'}"
11407,"{'addr:housenumber': '3989', 'website': 'https://www.goldstarprofessional.com/', 'phone': '+1-778-889-7167', 'opening_hours': 'Mo-Fr 10:00-15:00', 'description': 'A family-operated, certified driving school specializing in Class 1, 3, 5 and 7 driving lessons.', 'addr:street': 'Henning Drive', 'addr:unit': '123'}"
11408,"{'addr:housenumber': '145', 'website': 'https://www.ddmau.ca/chinatown', 'phone': '+1-604-559-6076', 'opening_hours': 'Mo-Th 11:30-22:00, Fr-Sa 11:30-24:00', 'cuisine': 'vietnamese', 'addr:street': 'East Pender Street'}"
11409,"{'opening_hours': 'Mo-Fr 08:00-14:00', 'addr:housenumber': '335', 'website': 'https://www.socialcrustcafe.com', 'addr:street': 'West Pender Street', 'addr:postcode': 'V6B 1T3'}"
11410,"{'addr:province': 'BC', 'studio': 'video', 'addr:housenumber': '18643', 'website': 'https://www.linusmediagroup.com/', 'addr:flats': '104', 'addr:street': '52 Avenue', 'wikipedia': 'en:Linus Media Group', 'office': 'media', 'addr:postcode': 'V3S 8E5', 'email': 'info@linusmediagroup.com', 'addr:city': 'Surrey'}"
11411,"{'addr:housenumber': '132', 'opening_hours': 'Mo-Sa 10:00-22:00; Su 11:00-22:00', 'cuisine': 'pizza', 'addr:street': 'West Esplanade Street', 'addr:postcode': 'V7M 1A2', 'takeaway': 'yes', 'addr:unit': '120', 'addr:city': 'North Vancouver'}"
11412,"{'addr:housenumber': '132', 'opening_hours': 'Mo-Su 05:00-22:00', 'cuisine': 'coffee_shop;sandwich;donuts;baked_goods', 'addr:street': 'West Esplanade Street', 'addr:postcode': 'V7M 1A2', 'addr:unit': '112', 'addr:city': 'North Vancouver'}"
11414,"{'opening_hours': 'Mo-Tu 11:00-15:00; We-Su 11:00-20:00', 'cuisine': 'diner', 'website': 'https://m.facebook.com/Rivers-Restaurant-119579404822822', 'phone': '+1-604-859-2518'}"
11415,"{'addr:housenumber': '4342', 'addr:street': 'Gallant Avenue'}"
11416,"{'addr:housenumber': '4355', 'addr:street': 'Gallant Avenue'}"
11417,"{'addr:housenumber': '4322', 'addr:street': 'Gallant Avenue', 'brand': 'Guardian'}"
11418,"{'addr:housenumber': '4361', 'alt_name': 'Pomegranate Grillhouse & Cafe', 'level': '0', 'cuisine': 'pizza', 'outdoor_seating': 'yes', 'addr:street': 'Gallant Avenue', 'start_date': '2005'}"
11420,"{'cuisine': 'regional', 'addr:housenumber': '4390', 'website': 'https://www.armsreachbistro.com', 'addr:street': 'Gallant Avenue', 'addr:unit': '107C'}"
11421,"{'addr:housenumber': '2548', 'website': 'https://www.cwbank.com/', 'addr:street': 'Clearbrook Road', 'addr:postcode': 'V2T 2Y5', 'addr:unit': '100'}"
11424,"{'wheelchair': 'yes', 'addr:housenumber': '7700', 'website': 'http://rpl.yourlibrary.ca/', 'internet_access': 'wlan', 'phone': '+1-604-231-6404', 'opening_hours': 'Mo-Fr 09:00-21:30; Sa-Su 10:00-17:00', 'addr:street': 'Minoru Gate', 'addr:city': 'Richmond'}"
11427,"{'website': 'https://www.novodentalcentre.com/', 'phone': '+1-604-854-6162', 'healthcare:speciality': 'general', 'opening_hours': 'Mo,Tu,Th,Fr 07:00-16:00; We 07:00-19:00; Sa,Su off', 'addr:unit': '130', 'healthcare': 'dentist'}"
11428,"{'healthcare:speciality': 'general', 'opening_hours': 'Mo-Fr 08:00-17:00', 'website': 'http://dedicateddentalcare.ca/', 'addr:unit': '140', 'healthcare': 'dentist'}"
11432,"{'addr:housenumber': '6036', 'addr:street': 'Glover Road'}"
11433,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '6036', 'internet_access': 'no', 'brand:wikipedia': 'en:Tim Hortons', 'internet_access:fee': 'yes', 'cuisine': 'coffee_shop', 'addr:street': 'Glover Road', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
11434,"{'addr:housenumber': '6036', 'fuel:octane_95': 'yes', 'fuel:octane_91': 'yes', 'addr:street': 'Glover Road', 'fuel:diesel': 'yes', 'brand': 'Esso', 'operator': 'Esso'}"
11435,"{'brand:wikidata': 'Q7660663', 'alt_name': 'Sylvan Learning Center', 'website': 'http://www.educate.com', 'phone': '+1-604-853-8688', 'brand:wikipedia': 'en:Sylvan Learning', 'opening_hours': 'Mo-Th 09:30-19:30; Fr 09:30-17:30; Sa 09:30-13:30 open ""by appt only""; Su off', 'brand': 'Sylvan', 'addr:unit': '6'}"
11436,"{'website': 'https://m.facebook.com/Sumas-Mountain-Coffee-100903849976959', 'shop': 'coffee', 'internet_access': 'wlan', 'phone': '+1-604-746-2206', 'internet_access:fee': 'no', 'opening_hours': 'Mo-Fr 08:00-18:00; Sa 10:00-17:00; Su off', 'addr:unit': '1A', 'url': 'http://sumasmountaincoffee.com'}"
11437,"{'opening_hours': 'Mo-Th 11:00-23:00; Fr-Sa 11:00-00:00; Su 11:00-22:00; PH 16:00-22:00', 'cuisine': 'pizza', 'website': 'https://www.ricardospizza.com/', 'phone': '+1-604-859-1112', 'addr:unit': '6'}"
11438,"{'opening_hours': 'Mo,Su off; Tu-Fr 11:30-21:30; Sa 13:30-21:30', 'cuisine': 'japanese', 'phone': '+1-604-755-8587', 'addr:unit': '4'}"
11439,"{'alt_name': 'Advokate Life & Education Services', 'website': 'http://www.hopeforwomen.ca', 'phone': '+1-604-853-0303', 'opening_hours': 'Mo-Fr 10:00-16:00; Sa 10:00-14:00', 'social_facility:for': 'pregnant', 'addr:unit': '2', 'operator': 'Abbotsford Right to Life Society', 'url': 'https://lifecollective.io/advokate/', 'social_facility': 'outreach'}"
11440,"{'website': 'http://www.kosmetae.com', 'phone': '+1-604-850-5777', 'addr:unit': '3'}"
11443,"{'official_name': ""Jo Jo's Fish and Chips Ltd"", 'alt_name': ""JoJo's"", 'website': 'https://m.facebook.com/Jojos-Fish-and-Chips-Bana-Restaurant-321007371390276', 'internet_access': 'wlan', 'phone': '+1-604-854-5525', 'internet_access:fee': 'no', 'opening_hours': 'Sa-Th 08:00-20:00; Fr 08:00-21:00', 'cuisine': 'fish_and_chips', 'addr:unit': '9', 'url': 'http://jojosfishandchips.ca'}"
11444,"{'website': 'https://www.abbotsfordcommunityservices.com/programs/multi-cultural-immigrant-services', 'social_facility:for': 'immigrant', 'addr:unit': '6', 'operator': 'Abbotsford Community Services', 'social_facility': 'outreach'}"
11445,"{'opening_hours': 'Mo-Fr 09:00-17:00; Su off', 'website': 'http://legendsacademy.ca', 'phone': '+1-604-859-5777', 'addr:unit': '7'}"
11446,"{'speciality': 'psychiatry', 'phone': '+1-604-870-7800', 'entrance': 'yes', 'addr:unit': '11', 'operator': 'Fraser Health Authority', 'healthcare': 'clinic'}"
11447,"{'opening_hours': 'Mo-We,Fr 08:30-17:00; Th 08:30-20:00; Sa 09:00-13:00; Mo-We,Fr 12:30-13:30 off; Su off', 'website': 'https://www.gladwinvet.com/', 'phone': '+1-604-850-0446', 'addr:unit': '104'}"
11449,"{'brand:wikidata': 'Q244457', 'website': 'http://w.subway.com/en-ca/findastore?zip=V3G7V7', 'ref': '7647', 'phone': '+1-604-854-6649', 'brand:wikipedia': 'en:Subway (restaurant)', 'opening_hours': 'Mo-Th 07:00-23:00; Fr 07:00-00:00; Sa-Su 08:00-00:00', 'cuisine': 'sandwich', 'takeaway': 'yes', 'brand': 'Subway'}"
11450,"{'website': 'http://clearbrookchiropractic.ca', 'shop': 'orthotics', 'phone': '+1-604-852-1820', 'healthcare:speciality': 'chiropractic', 'opening_hours': 'Mo,We 08:30-19:00; Tu,Th,Fr 08:30-17:00; Sa 08:30-14:00; Su off', 'addr:unit': '101', 'healthcare': 'alternative'}"
11451,"{'shop': 'chemist', 'phone': '+1-604-870-1801', 'addr:unit': '8'}"
11452,"{'website': 'https://pizzajunctionsnacks.com/', 'phone': '+1-604-746-0246', 'opening_hours': 'Mo-Th 11:00-23:00; Fr 11:00-00:00; Sa 12:00-00:00; Su 14:00-23:00', 'description': 'Make your day special', 'cuisine': 'pizza', 'addr:unit': '6', 'url': 'https://m.facebook.com/pizzajunction.snacks'}"
11453,"{'healthcare:speciality': 'general', 'phone': '+1-604-853-6667', 'addr:unit': '2', 'healthcare': 'doctor'}"
11455,{}
11456,"{'healthcare:speciality': 'general', 'addr:unit': '102', 'healthcare': 'doctor'}"
11457,"{'website': 'http://www.drapgrewal.ca', 'phone': '+1-604-557-1313', 'healthcare:speciality': 'general', 'description': 'Family Dentist', 'addr:unit': '200', 'healthcare': 'dentist'}"
11458,"{'website': 'http://www.clearbrookdentureclinic.ca', 'shop': 'denture', 'phone': '+1-604-746-4644', 'healthcare:speciality': 'denturist', 'addr:unit': '200A', 'healthcare': 'dentist'}"
11459,"{'website': 'http://www.kaizenmed.com', 'healthcare:speciality': 'general', 'description': 'Functional Medicine', 'office': 'company', 'addr:unit': '300', 'healthcare': 'doctor'}"
11460,"{'healthcare:speciality': 'general', 'addr:unit': '101', 'healthcare': 'doctor'}"
11461,{'addr:unit': '100'}
11462,"{'healthcare:speciality': 'general', 'addr:unit': '101', 'healthcare': 'doctor'}"
11463,"{'wheelchair': 'yes', 'addr:housenumber': '5152', 'website': 'http://www.cafesweetsnbeans.com', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'internet_access:ssid': 'Cafesweetsnbeans-guest', 'opening_hours': 'Su-Th 07:00-23:00; Fr-Sa 07:00-00:00', 'cuisine': 'coffee_shop', 'outdoor_seating': 'yes', 'addr:street': 'Kingsway', 'addr:city': 'Burnaby'}"
11464,"{'addr:housenumber': '3490', 'addr:street': 'Kingsway', 'addr:unit': '10', 'addr:city': 'Vancouver'}"
11465,"{'addr:housenumber': '2053', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
11466,"{'addr:housenumber': '2007', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
11467,"{'brand:wikidata': 'Q154950', 'addr:housenumber': '1896', 'brand:wikipedia': 'en:Royal Dutch Shell', 'addr:street': 'East Hastings Street', 'brand': 'Shell', 'addr:city': 'Vancouver'}"
11468,"{'addr:housenumber': '2060', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
11469,"{'addr:housenumber': '2131', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
11470,"{'addr:housenumber': '2270', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
11471,"{'addr:housenumber': '2280', 'dispensing': 'yes', 'addr:street': 'East Hastings Street', 'healthcare': 'pharmacy', 'addr:city': 'Vancouver'}"
11472,"{'addr:housenumber': '2234', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
11473,"{'website': 'http://autowash.ca/richmond', 'name:en': 'Richmond Auto Wash', 'name:zh': '自动洗车'}"
11474,{}
11475,"{'addr:housenumber': '4373', 'website': 'https://honeydoughnuts.com', 'phone': '+1-604-929-4988', 'level': '0', 'opening_hours': '06:00-17:00;Dec 7 06:00-16:00;Dec 24 06:00-14:00;Dec 25 off;Dec 26 off;Dec 31 06:00-14:00;Jan 1 08:00-16:00', 'tourism': 'attraction', 'cuisine': 'donut', 'addr:street': 'Gallant Avenue'}"
11476,"{'brand:wikidata': 'Q839466', 'addr:housenumber': '5522', 'brand:wikipedia': ""en:Domino's Pizza"", 'cuisine': 'pizza', 'short_name': ""Domino's"", 'addr:street': 'Joyce Street', 'takeaway': 'yes', 'brand': ""Domino's"", 'addr:city': 'Vancouver'}"
11477,"{'addr:housenumber': '5538', 'addr:street': 'Joyce Street', 'addr:city': 'Vancouver'}"
11478,"{'addr:housenumber': '5615', 'addr:street': 'Harold Street', 'addr:city': 'Vancouver'}"
11479,"{'addr:housenumber': '3141', 'addr:street': 'Kingsway', 'addr:city': 'Vancouver'}"
11480,"{'addr:housenumber': '4441', 'addr:street': 'Boundary Road', 'addr:city': 'Vancouver'}"
11481,"{'brand:wikidata': 'Q451476', 'addr:housenumber': '8191', 'brand:wikipedia': 'en:Scotiabank', 'addr:street': 'Cambie Street', 'brand': 'Scotiabank', 'addr:city': 'Vancouver'}"
11482,"{'addr:housenumber': '491', 'addr:street': 'Southwest Marine Drive', 'addr:city': 'Vancouver'}"
11483,"{'brand:wikidata': 'Q735261', 'official_name': 'Royal Bank of Canada', 'addr:housenumber': '445', 'brand:wikipedia': 'en:Royal Bank of Canada', 'addr:street': 'Southwest Marine Drive', 'brand': 'RBC', 'addr:city': 'Vancouver'}"
11484,"{'addr:housenumber': '8808', 'addr:street': 'Osler Street', 'addr:city': 'Vancouver'}"
11485,"{'brand:wikidata': 'Q7995414', 'addr:housenumber': '1041', 'brand:wikipedia': 'en:White Spot', 'cuisine': 'burger', 'addr:street': 'Southwest Marine Drive', 'brand': 'White Spot', 'addr:city': 'Vancouver'}"
11486,"{'addr:housenumber': '401', 'website': 'https://www.vpl.ca/location/carnegie-branch', 'internet_access': 'wlan', 'opening_hours': 'PH Mo-Su 10:00-22:00', 'addr:street': 'Main Street', 'addr:postcode': 'V3L 2K3', 'operator': 'Vancouver Public Library'}"
11487,"{'addr:housenumber': '1450', 'addr:street': 'Southwest Marine Drive', 'addr:city': 'Vancouver'}"
11488,"{'addr:housenumber': '8532', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11489,"{'addr:housenumber': '8390', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11490,"{'addr:housenumber': '8333', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11491,"{'addr:housenumber': '8298', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11492,"{'addr:housenumber': '8185', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11493,"{'brand:wikidata': 'Q191615', 'addr:housenumber': '8155', 'brand:wikipedia': 'en:Pizza Hut', 'cuisine': 'pizza', 'addr:street': 'Granville Street', 'brand': 'Pizza Hut', 'addr:city': 'Vancouver'}"
11494,"{'addr:housenumber': '8012', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11495,"{'brand:wikidata': 'Q190464', 'addr:housenumber': '8118', 'brand:wikipedia': 'en:HSBC', 'addr:street': 'Granville Street', 'brand': 'HSBC', 'addr:city': 'Vancouver'}"
11496,"{'addr:housenumber': '8176', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11497,"{'addr:housenumber': '8273', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11498,"{'addr:housenumber': '8079', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11499,"{'cuisine': 'sushi', 'addr:housenumber': '8099', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11500,"{'addr:housenumber': '7994', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11501,"{'addr:housenumber': '7980', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11502,"{'addr:housenumber': '7964', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11503,"{'addr:housenumber': '7908', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11504,"{'addr:housenumber': '8051', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
11505,"{'brand:wikidata': 'Q1080670', 'addr:housenumber': '8005', 'brand:wikipedia': 'en:TD Canada Trust', 'addr:street': 'Granville Street', 'brand': 'TD Canada Trust', 'addr:city': 'Vancouver'}"
11506,"{'addr:housenumber': '1318-8368', 'addr:street': 'Capstan Way', 'addr:city': 'Richmond'}"
11507,"{'addr:housenumber': '1231-8338', 'addr:street': 'Capstan Way', 'addr:city': 'Richmond'}"
11508,"{'addr:housenumber': '1326-8328', 'addr:street': 'Capstan Way', 'addr:city': 'Richmond'}"
11509,"{'addr:housenumber': '1161-8328', 'addr:street': 'Capstan Way', 'addr:city': 'Richmond'}"
11510,"{'addr:housenumber': '10211', 'addr:street': 'Saint Edwards Drive', 'addr:city': 'Richmond'}"
11511,"{'addr:housenumber': '140-3031', 'addr:street': 'Beckman Place', 'addr:city': 'Richmond'}"
11512,"{'addr:housenumber': '3233', 'addr:street': 'Saint Edwards Drive', 'addr:city': 'Richmond'}"
11513,"{'addr:housenumber': '208-2811', 'addr:street': 'No. 3 Road', 'addr:city': 'Richmond'}"
11514,"{'addr:housenumber': '4811', 'addr:street': 'Hazelbridge Way', 'addr:city': 'Richmond'}"
11515,"{'addr:housenumber': '105-8171', 'name:en': 'Happy Tree House BBQ', 'addr:street': 'Alexandra Road', 'addr:city': 'Richmond', 'name:zh': '木屋炭烤'}"
11516,"{'addr:housenumber': '8171', 'addr:street': 'Alexandra Road', 'addr:city': 'Richmond'}"
11517,"{'addr:housenumber': '8111', 'addr:street': 'Leslie Road', 'addr:city': 'Richmond'}"
11518,"{'addr:housenumber': '4203-4231', 'addr:street': 'Hazelbridge Way', 'addr:city': 'Richmond'}"
11519,"{'addr:housenumber': '1236', 'website': 'http://www.thericeandnoodle.com', 'internet_access': 'wlan', 'phone': '+1-604-693-0055', 'opening_hours': 'Mo-Su 11:00-23:00', 'cuisine': 'thai', 'name:en': 'Rice & Noodle', 'addr:street': 'Robson St', 'addr:postcode': 'V6E 1C1'}"
11520,{}
11521,{}
11522,"{'brand:wikidata': 'Q244457', 'cuisine': 'sandwich', 'takeaway': 'yes', 'brand': 'Subway', 'brand:wikipedia': 'en:Subway (restaurant)'}"
11523,"{'brand:wikidata': 'Q4943796', 'cuisine': 'juice', 'takeaway': 'yes', 'brand': 'Booster Juice', 'brand:wikipedia': 'en:Booster Juice'}"
11524,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
11526,"{'addr:housenumber': '20395', 'website': 'www.westgatemedical.ca', 'addr:street': 'Lougheed Highway', 'addr:postcode': 'V2X 2P9', 'addr:unit': '402', 'healthcare': 'clinic', 'addr:city': 'Maple Ridge'}"
11527,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '8916', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'addr:street': 'University High Street', 'takeaway': 'yes', 'brand': 'Subway'}"
11528,"{'brand:wikidata': 'Q66070360', 'official_name': 'Quesada Burritos & Tacos', 'addr:housenumber': '8961', 'cuisine': 'mexican', 'addr:street': 'Cornerstone Mews', 'takeaway': 'yes', 'brand': 'Quesada'}"
11529,"{'addr:housenumber': '8931', 'addr:street': 'Cornerstone Mews'}"
11530,"{'brand:wikidata': 'Q191615', 'addr:housenumber': '8917', 'brand:wikipedia': 'en:Pizza Hut', 'cuisine': 'pizza', 'addr:street': 'Cornerstone Mews', 'brand': 'Pizza Hut'}"
11531,"{'addr:province': 'BC', 'addr:street': 'Wallace Mews', 'addr:postcode': 'V7L 0B2', 'addr:city': 'North Vancouver'}"
11535,"{'cuisine': 'ice_cream', 'addr:housenumber': '1503', 'addr:street': 'Bellevue Avenue', 'addr:city': 'West Vancouver'}"
11536,"{'cuisine': 'chinese', 'addr:housenumber': '9938', 'addr:street': 'Lougheed Highway', 'addr:city': 'Burnaby'}"
11537,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:postcode': 'V3J 3R3', 'takeaway': 'yes', 'addr:city': 'Coquitlam', 'addr:housenumber': '1980', 'phone': '+1-604-937-7781', 'opening_hours': 'Mo-Fr 05:30-23:00; Sa-Su 06:00-23:00', 'addr:street': 'Como Lake Avenue', 'brand': 'Starbucks'}"
11538,"{'brand:wikidata': 'Q1080670', 'addr:housenumber': '1980', 'phone': '+1-604-933-4930', 'brand:wikipedia': 'en:TD Canada Trust', 'opening_hours': 'Mo-Fr 08:00-18:00; Sa 08:00-16:00; Su closed', 'addr:street': 'Como Lake Avenue', 'atm': 'yes', 'addr:postcode': 'V3J 3R3', 'brand': 'TD Canada Trust', 'operator': 'TD Canada Trust', 'addr:city': 'Coquitlam'}"
11540,"{'delivery': 'yes', 'addr:housenumber': '3021', 'phone': '+1-604-464-8819', 'smoking': 'no', 'cuisine': 'chinese', 'addr:street': 'Anson Avenue', 'addr:postcode': 'V3B 2H6', 'takeaway': 'yes', 'addr:city': 'Coquitlam', 'capacity': '100'}"
11541,"{'addr:housenumber': '2010', 'cuisine': 'chinese', 'short_name': 'On Lok', 'addr:street': 'East Hastings Street', 'addr:postcode': 'V5L 1T8', 'takeaway': 'yes', 'addr:city': 'Vancouver'}"
11542,"{'addr:province': 'BC', 'addr:housenumber': '202', 'addr:street': 'East 16th Avenue', 'addr:city': 'Vancouver'}"
11543,"{'addr:province': 'BC', 'addr:housenumber': '3163', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}"
11544,"{'addr:province': 'BC', 'addr:housenumber': '4063', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}"
11545,"{'addr:province': 'BC', 'addr:housenumber': '221', 'website': 'https://praguery.com/', 'phone': '+16043676126', 'opening_hours': 'Tu-Th 13:00-21:00; Fr-Su 13:00-22:00', 'outdoor_seating': 'no', 'addr:street': 'Abbott Street', 'takeaway': 'yes', 'addr:city': 'Vancouver'}"
11546,"{'brand:wikidata': 'Q839466', 'addr:province': 'BC', 'addr:housenumber': '585', 'brand:wikipedia': ""en:Domino's Pizza"", 'drive_through': 'no', 'cuisine': 'pizza', 'addr:street': 'East Broadway', 'takeaway': 'yes', 'brand': ""Domino's"", 'addr:city': 'Vancouver'}"
11547,"{'addr:province': 'BC', 'addr:housenumber': '4061', 'addr:street': '200 Street', 'addr:city': 'Langley'}"
11548,"{'addr:province': 'BC', 'cuisine': 'sushi', 'addr:housenumber': '4046', 'addr:street': '200 Street', 'addr:city': 'Langley'}"
11549,"{'brand:wikidata': 'Q839466', 'addr:province': 'BC', 'addr:housenumber': '4061', 'brand:wikipedia': ""en:Domino's Pizza"", 'cuisine': 'pizza', 'addr:street': '200 Street', 'takeaway': 'yes', 'brand': ""Domino's"", 'addr:unit': '115', 'addr:city': 'Langley'}"
11550,"{'addr:province': 'BC', 'addr:housenumber': '4061', 'cuisine': 'chinese', 'addr:street': '200 Street', 'addr:unit': '106', 'addr:city': 'Langley'}"
11551,"{'brand:wikidata': 'Q5503051', 'addr:province': 'BC', 'addr:housenumber': '20821', 'brand:wikipedia': 'en:Freshii', 'cuisine': 'salad', 'addr:street': 'Fraser Highway', 'brand': 'Freshii', 'addr:unit': '37', 'addr:city': 'Langley'}"
11552,"{'addr:province': 'BC', 'addr:housenumber': '20811', 'cuisine': 'sushi', 'addr:street': 'Fraser Highway', 'addr:unit': '21', 'addr:city': 'Langley'}"
11553,"{'brand:wikidata': 'Q2759586', 'addr:province': 'BC', 'addr:housenumber': '20811', 'brand:wikipedia': ""en:Papa John's Pizza"", 'cuisine': 'pizza', 'addr:street': 'Fraser Highway', 'takeaway': 'yes', 'brand': ""Papa John's"", 'addr:unit': '17', 'addr:city': 'Langley'}"
11554,"{'addr:province': 'BC', 'addr:housenumber': '5492', 'addr:street': 'Salt Lane', 'addr:city': 'Langley'}"
11555,"{'addr:province': 'BC', 'addr:housenumber': '20559', 'cuisine': 'mexican', 'addr:street': 'Fraser Highway', 'addr:unit': '103', 'addr:city': 'Langley'}"
